# Nerd Font Linux Icons — Full Reference
# Format: nf-linux-<name>=<glyph> (U+<codepoint>)

nf-linux-almalinux= (U+F31D)
nf-linux-alpine= (U+F300)
nf-linux-aosc= (U+F301)
nf-linux-apple= (U+F302)
nf-linux-archcraft= (U+F345)
nf-linux-archlabs= (U+F31E)
nf-linux-archlinux= (U+F303)
nf-linux-arcolinux= (U+F346)
nf-linux-arduino= (U+F34B)
nf-linux-artix= (U+F31F)
nf-linux-awesome= (U+F354)
nf-linux-biglinux= (U+F347)
nf-linux-bspwm= (U+F355)
nf-linux-budgie= (U+F320)
nf-linux-centos= (U+F304)
nf-linux-cinnamon= (U+F35F)
nf-linux-codeberg= (U+F330)
nf-linux-coreos= (U+F305)
nf-linux-crystal= (U+F348)
nf-linux-debian= (U+F306)
nf-linux-deepin= (U+F321)
nf-linux-devuan= (U+F307)
nf-linux-docker= (U+F308)
nf-linux-dwm= (U+F356)
nf-linux-elementary= (U+F309)
nf-linux-endeavour= (U+F322)
nf-linux-enlightenment= (U+F357)
nf-linux-fedora= (U+F30A)
nf-linux-fedora_inverse= (U+F30B)
nf-linux-ferris= (U+F323)
nf-linux-flathub= (U+F324)
nf-linux-fluxbox= (U+F358)
nf-linux-forgejo= (U+F335)
nf-linux-fosdem= (U+F36B)
nf-linux-freebsd= (U+F30C)
nf-linux-freecad= (U+F336)
nf-linux-freedesktop= (U+F360)
nf-linux-garuda= (U+F337)
nf-linux-gentoo= (U+F30D)
nf-linux-gimp= (U+F338)
nf-linux-gitea= (U+F339)
nf-linux-gnome= (U+F361)
nf-linux-gnu_guix= (U+F325)
nf-linux-gtk= (U+F362)
nf-linux-hyperbola= (U+F33A)
nf-linux-hyprland= (U+F359)
nf-linux-i3= (U+F35A)
nf-linux-illumos= (U+F326)
nf-linux-inkscape= (U+F33B)
nf-linux-jwm= (U+F35B)
nf-linux-kali_linux= (U+F327)
nf-linux-kde= (U+F373)
nf-linux-kde_neon= (U+F331)
nf-linux-kde_plasma= (U+F332)
nf-linux-kdenlive= (U+F33C)
nf-linux-kicad= (U+F34C)
nf-linux-krita= (U+F33D)
nf-linux-kubuntu= (U+F333)
nf-linux-kubuntu_inverse= (U+F334)
nf-linux-leap= (U+F37E)
nf-linux-libreoffice= (U+F376)
nf-linux-libreofficebase= (U+F377)
nf-linux-libreofficecalc= (U+F378)
nf-linux-libreofficedraw= (U+F379)
nf-linux-libreofficeimpress= (U+F37A)
nf-linux-libreofficemath= (U+F37B)
nf-linux-libreofficewriter= (U+F37C)
nf-linux-linuxmint= (U+F30E)
nf-linux-linuxmint_inverse= (U+F30F)
nf-linux-locos= (U+F349)
nf-linux-lxde= (U+F363)
nf-linux-lxle= (U+F33E)
nf-linux-lxqt= (U+F364)
nf-linux-mageia= (U+F310)
nf-linux-mandriva= (U+F311)
nf-linux-manjaro= (U+F312)
nf-linux-mate= (U+F365)
nf-linux-mpv= (U+F36E)
nf-linux-mxlinux= (U+F33F)
nf-linux-neovim= (U+F36F)
nf-linux-nixos= (U+F313)
nf-linux-nobara= (U+F380)
nf-linux-octoprint= (U+F34D)
nf-linux-openbsd= (U+F328)
nf-linux-openscad= (U+F34E)
nf-linux-opensuse= (U+F314)
nf-linux-osh= (U+F34F)
nf-linux-oshwa= (U+F350)
nf-linux-osi= (U+F36C)
nf-linux-parabola= (U+F340)
nf-linux-parrot= (U+F329)
nf-linux-pop_os= (U+F32A)
nf-linux-postmarketos= (U+F374)
nf-linux-prusaslicer= (U+F351)
nf-linux-puppy= (U+F341)
nf-linux-qt= (U+F375)
nf-linux-qtile= (U+F35C)
nf-linux-qubesos= (U+F342)
nf-linux-raspberry_pi= (U+F315)
nf-linux-redhat= (U+F316)
nf-linux-reprap= (U+F352)
nf-linux-riscv= (U+F353)
nf-linux-river= (U+F381)
nf-linux-rocky_linux= (U+F32B)
nf-linux-sabayon= (U+F317)
nf-linux-slackware= (U+F318)
nf-linux-slackware_inverse= (U+F319)
nf-linux-snappy= (U+F32C)
nf-linux-solus= (U+F32D)
nf-linux-sway= (U+F35D)
nf-linux-tails= (U+F343)
nf-linux-thunderbird= (U+F370)
nf-linux-tor= (U+F371)
nf-linux-trisquel= (U+F344)
nf-linux-tumbleweed= (U+F37D)
nf-linux-tux= (U+F31A)
nf-linux-typst= (U+F37F)
nf-linux-ubuntu= (U+F31B)
nf-linux-ubuntu_inverse= (U+F31C)
nf-linux-vanilla= (U+F366)
nf-linux-void= (U+F32E)
nf-linux-vscodium= (U+F372)
nf-linux-wayland= (U+F367)
nf-linux-wikimedia= (U+F36D)
nf-linux-xerolinux= (U+F34A)
nf-linux-xfce= (U+F368)
nf-linux-xmonad= (U+F35E)
nf-linux-xorg= (U+F369)
nf-linux-zorin= (U+F32F)
